umidità temperatura co2 tvoc classe
59 23.800000 1766 410 0
59 23.700000 1757 400 0
59 23.800000 1757 400 0
59 23.700000 1753 394 0
59 23.600000 1753 394 0
59 23.700000 1747 387 0
58 23.800000 1747 387 0
59 23.700000 1739 379 0
59 23.800000 1747 387 0
59 23.600000 1739 379 0
59 23.800000 1739 379 0
58 23.600000 1739 379 0
58 23.800000 1739 379 0
59 23.600000 1735 372 0
59 23.700000 1735 372 0
58 23.600000 1735 372 0
59 23.700000 1726 364 0
59 23.800000 1735 372 0
59 23.800000 1726 364 0
59 23.600000 1726 364 0
59 23.600000 1720 357 0
59 23.800000 1720 357 0
59 23.700000 1720 357 0
59 23.600000 1713 351 0
59 23.700000 1713 351 0
59 23.700000 1704 344 0
59 23.600000 1704 344 0
59 23.800000 1704 344 0
59 23.700000 1699 337 0
59 23.600000 1699 337 0
59 23.600000 1692 331 0
59 23.700000 1692 331 0
59 23.700000 1686 324 0
59 23.600000 1686 324 0
59 23.700000 1678 318 0
59 23.600000 1678 318 0
59 23.600000 1673 312 0
59 23.700000 1673 312 0
59 23.800000 1673 312 0
59 23.700000 1668 306 0
59 23.600000 1668 306 0
59 23.800000 1668 306 0
59 23.700000 1661 300 0
59 23.600000 1661 300 0
59 23.800000 1661 300 0
59 23.600000 1656 295 0
59 23.700000 1656 295 0
59 23.600000 1648 288 0
59 23.500000 1656 295 0
59 23.500000 1648 288 0
59 23.700000 1642 284 0
59 23.600000 1642 284 0
59 23.500000 1642 284 0
59 23.600000 1637 279 0
59 23.700000 1637 279 0
59 23.600000 1629 272 0
59 23.700000 1629 272 0
59 23.600000 1624 267 0
59 23.700000 1624 267 0
59 23.900000 1624 267 0
59 23.700000 1616 261 0
59 23.800000 1616 261 0
59 23.600000 1616 261 0
59 23.500000 1616 261 0
59 23.900000 1616 261 0
59 23.600000 1612 257 0
59 23.700000 1612 257 0
59 23.500000 1612 257 0
59 23.600000 1607 253 0
59 23.700000 1607 253 0
59 23.500000 1607 253 0
59 23.700000 1602 247 0
59 23.500000 1602 247 0
59 23.600000 1602 247 0
59 23.800000 1602 247 0
59 23.600000 1595 242 0
59 23.800000 1591 237 0
59 23.700000 1595 242 0
59 23.500000 1595 242 0
59 23.600000 1587 234 0
59 23.900000 1591 237 0
59 23.600000 1591 237 0
59 23.500000 1591 237 0
59 23.700000 1591 237 0
59 23.500000 1587 234 0
59 23.700000 1587 234 0
59 23.600000 1579 228 0
59 23.900000 1579 228 0
59 23.900000 1587 234 0
59 23.500000 1579 228 0
59 23.700000 1579 228 0
59 23.700000 1573 225 0
59 23.500000 1573 225 0
59 23.600000 1573 225 0
59 23.700000 1568 220 0
59 23.500000 1568 220 0
59 23.600000 1568 220 0
59 23.600000 1560 215 0
59 23.600000 1557 212 0
59 23.800000 1560 215 0
59 23.700000 1560 215 0
59 23.700000 1557 212 0
59 23.900000 1560 215 0
59 23.500000 1557 212 0
59 23.600000 1552 208 0
59 23.500000 1552 208 0
59 23.800000 1552 208 0
59 23.900000 1552 208 0
59 23.600000 1544 203 0
59 23.800000 1557 212 0
59 23.500000 1544 203 0
59 23.800000 1544 203 0
59 23.700000 1552 208 0
59 23.700000 1544 203 0
59 23.900000 1544 203 0
59 23.600000 1540 199 0
59 23.700000 1540 199 0
59 23.500000 1540 199 0
59 23.800000 1540 199 0
59 23.900000 1535 196 0
59 23.700000 1535 196 0
59 23.600000 1535 196 0
59 23.800000 1535 196 0
59 23.900000 1540 199 0
59 23.500000 1535 196 0
59 23.600000 1530 192 0
59 23.500000 1530 192 0
59 23.800000 1530 192 0
59 23.700000 1530 192 0
59 23.500000 1526 189 0
59 23.600000 1526 189 0
59 23.800000 1526 189 0
59 23.900000 1526 189 0
59 23.700000 1526 189 0
59 23.600000 1520 185 0
59 23.700000 1520 185 0
59 23.800000 1520 185 0
59 23.500000 1520 185 0
60 23.500000 1520 185 0
60 23.600000 1515 181 0
60 23.600000 1520 185 0
60 23.800000 1515 181 0
60 23.500000 1515 181 0
59 23.700000 1515 181 0
59 23.500000 1515 181 0
59 23.600000 1515 181 0
60 23.700000 1515 181 0
59 23.800000 1515 181 0
59 23.500000 1509 178 0
60 23.700000 1509 178 0
60 23.500000 1509 178 0
60 23.600000 1509 178 0
60 23.800000 1509 178 0
59 23.700000 1509 178 0
59 23.600000 1509 178 0
59 23.800000 1509 178 0
59 23.800000 1505 175 0
59 23.900000 1509 178 0
59 23.600000 1505 175 0
59 23.500000 1505 175 0
59 23.700000 1505 175 0
60 23.500000 1505 175 0
